Designator,Mid X,Mid Y,Rotation,Layer
C1,200.05,-61.6,180.0,top
C10,109.0,-48.0,0.0,top
C101,196.1,-88.4,0.0,top
C102,200.05,-59.616746,180.0,top
C103,94.825,-146.7,0.0,top
C104,94.825,-149.9,0.0,top
C105,94.825,-153.1,0.0,top
C106,94.825,-156.3,0.0,top
C107,105.9,-153.75,90.0,top
C108,109.125,-153.75,90.0,top
C109,109.125,-149.15,270.0,top
C110,105.9,-149.15,270.0,top
C111,96.6375,-137.1,90.0,top
C112,96.2375,-165.2,270.0,top
C113,138.480514,-62.57225,270.0,top
C114,210.0,-71.1,90.0,top
C115,210.0,-76.125,270.0,top
C116,78.5,-164.4,0.0,top
C117,78.5,-171.7,0.0,top
C118,147.491699,-100.064685,20.0,top
C119,160.0,-137.5,20.0,top
C12,212.4,-84.168785,90.0,top
C120,164.7,-73.305,270.0,top
C121,206.5,-49.85,0.0,top
C122,94.7,-67.1,0.0,top
C127,206.5,-99.5,0.0,top
C128,136.2,-168.960281,0.0,top
C129,136.2,-171.910281,0.0,top
C13,212.55,-86.9,0.0,top
C130,140.775,-168.960281,0.0,top
C131,140.775,-171.910281,0.0,top
C132,140.75,-132.825,0.0,top
C133,140.75,-135.775,0.0,top
C134,136.2,-132.825,0.0,top
C135,136.2,-135.775,0.0,top
C136,119.9,-135.275,270.0,bottom
C137,126.4,-163.825,90.0,bottom
C14,212.7,-67.5,90.0,top
C15,214.7,-67.5,90.0,top
C16,206.5,-71.125,90.0,top
C17,206.5,-76.1,270.0,top
C18,136.2,-138.729484,0.0,top
C19,136.199999,-141.754484,0.0,top
C20,136.199999,-144.726034,0.0,top
C201,68.220875,-97.8,180.0,bottom
C202,73.01,-100.47,0.0,bottom
C203,72.053375,-95.715722,180.0,bottom
C204,98.4525,-97.29,0.0,bottom
C205,94.09,-102.25,0.0,bottom
C21,136.199999,-147.676033,0.0,top
C22,189.5,-117.5,180.0,top
C23,140.750001,-141.749999,0.0,top
C24,140.750001,-144.72155,0.0,top
C25,140.750001,-147.67155,0.0,top
C26,140.75,-138.725,0.0,top
C27,189.5,-127.5,0.0,top
C28,95.4,-149.3,180.0,bottom
C29,136.225,-157.15,0.0,top
C3,196.1,-86.4,0.0,top
C30,136.23544,-160.09978,0.0,top
C301,132.220962,-93.929357,160.0,bottom
C31,136.245885,-163.060281,0.0,top
C32,136.245885,-166.010281,0.0,top
C33,189.3,-160.8,180.0,top
C34,140.775,-157.125,0.0,top
C35,140.775,-166.010281,0.0,top
C36,140.775,-160.074781,0.0,top
C37,140.775,-163.060281,0.0,top
C38,189.4,-170.9,0.0,top
C39,95.3,-158.4,180.0,bottom
C40,121.904558,-138.959578,0.0,bottom
C401,157.157174,-91.468613,270.0,bottom
C402,152.371712,-91.395364,70.0,bottom
C403,137.872255,-96.672735,70.0,bottom
C404,132.687428,-102.916099,340.0,bottom
C405,129.678171,-96.877634,160.0,bottom
C406,83.54,-102.72,180.0,bottom
C407,87.7925,-94.09,0.0,bottom
C42,93.734241,-96.081021,0.0,top
C44,98.3,-102.26,0.0,bottom
C46,93.707993,-78.420021,0.0,top
C47,93.634241,-80.681021,0.0,top
C5,109.0,-54.5,180.0,top
C501,87.0,-78.6,0.0,top
C502,86.9,-80.7,0.0,top
C503,87.0,-96.05,0.0,top
C505,87.75,-100.8,0.0,bottom
C53,125.0,-136.9,90.0,bottom
C6,220.5,-109.08,270.0,top
C7,162.2,-57.921185,270.0,top
C701,86.6,-136.55,90.0,bottom
C702,80.8625,-136.4875,180.0,bottom
C703,136.1375,-116.6,90.0,top
C704,121.3,-113.1,270.0,top
C705,131.3375,-125.0,90.0,top
C706,120.106946,-109.66676,180.0,top
C707,116.856946,-105.66676,90.0,top
C708,119.156946,-104.19176,270.0,top
C709,132.89109,-97.099837,110.0,top
C710,104.9,-100.0,180.0,top
C711,136.69,-98.49,200.0,top
C712,106.1,-97.2,270.0,top
C713,137.48,-100.02,200.0,top
C714,104.3,-97.0,270.0,top
C715,153.645565,-91.433669,200.0,top
C716,100.6,-80.0,270.0,top
C717,122.4375,-117.41,90.0,top
C718,125.1375,-117.2,90.0,top
C719,100.2,-74.6,180.0,bottom
C8,124.291,-159.5485,180.0,bottom
C801,135.695069,-90.142405,230.0,bottom
C802,143.649509,-83.53874,230.0,bottom
C803,131.675,-86.125,215.0,bottom
C804,137.253195,-78.269898,215.0,bottom
C805,133.648112,-87.441494,130.0,top
C806,141.394005,-81.013616,130.0,top
C807,200.3875,-89.2,0.0,top
C808,200.028584,-55.674559,0.0,top
C809,211.9,-94.2,180.0,top
C9,121.45,-161.775,270.0,bottom
D1,195.15,-108.5,180.0,top
D101,208.476346,-87.8,0.0,top
D102,207.704558,-59.524509,0.0,top
D2,183.65,-108.5,180.0,top
D3,195.15,-151.7,180.0,top
D4,183.65,-151.7,180.0,top
D5,121.3,-84.9,0.0,top
D701,152.025288,-87.128184,200.0,top
D702,154.222854,-93.458327,200.0,top
D703,98.6,-80.1,270.0,top
D704,104.3,-80.6,0.0,top
F1,132.787968,-60.96,270.0,top
F101,132.764758,-70.34,270.0,top
FB1,193.5,-65.9,90.0,top
FB2,193.6,-80.9,270.0,top
FID1,232.0,-52.5,0.0,top
FID2,204.0,-172.5,0.0,top
FID3,62.0,-115.5,0.0,top
FL1,149.5,-56.6,270.0,top
FL2,109.378347,-68.59172,270.0,top
FL3,82.0,-147.25,270.0,top
GD1,65.0,-51.9,90.0,top
H1,117.0,-151.5,0.0,bottom
H2,152.0,-74.0,0.0,bottom
H3,187.0,-138.5,0.0,bottom
H4,64.0,-61.5,0.0,bottom
H5,64.5,-170.5,0.0,bottom
H6,232.0,-72.5,270.0,bottom
HS10,207.3,-65.6,90.0,bottom
HS101,198.3,-151.7,270.0,bottom
HS104,126.9,-148.4,0.0,bottom
HS105,129.6,-172.0,90.0,bottom
HS106,129.6,-165.8,270.0,bottom
HS107,129.8,-138.8,270.0,bottom
HS108,129.8,-132.7,270.0,bottom
HS109,127.0,-156.0,0.0,bottom
HS11,187.3,-108.0,90.0,bottom
HS110,107.6,-137.325,270.0,bottom
HS111,107.85,-165.25,270.0,bottom
HS12,186.8,-151.7,90.0,bottom
HS3,198.4,-81.3,0.0,bottom
HS4,198.0,-66.6,180.0,bottom
HS5,197.8,-108.0,90.0,bottom
HS9,207.3,-81.8,90.0,bottom
J1,64.0,-78.9,90.0,top
J2,78.0,-78.9,270.0,top
J3,64.0,-61.5,270.0,top
J5,67.0,-138.5,0.0,top
J8,67.0,-148.5,0.0,top
K1,123.73567,-69.038216,90.0,top
L1,179.7,-59.3,90.0,top
L3,179.7,-88.0,90.0,top
L5,112.5,-137.201286,180.0,top
L6,112.5,-165.9,180.0,top
L701,132.7,-108.245,180.0,top
L702,122.731946,-105.90046,90.0,top
L703,136.03,-96.78,20.0,top
L704,108.0,-97.3,90.0,top
L705,122.9,-121.1,0.0,top
N101,162.0,-110.5,0.0,top
Q1,198.1,-67.1365,0.0,top
Q10,129.062058,-171.99,270.0,top
Q11,126.5,-88.375,270.0,top
Q2,198.2625,-80.5,180.0,top
Q3,206.7,-82.05,270.0,top
Q4,206.3,-65.6,270.0,top
Q5,126.576419,-147.805,180.0,top
Q6,129.139558,-139.038919,270.0,top
Q7,129.139558,-132.805,270.0,top
Q8,126.576419,-156.8025,0.0,top
Q9,129.062058,-165.805,270.0,top
R1,195.98,-61.3,180.0,top
R10,102.35,-155.6,90.0,top
R101,126.264558,-173.01,270.0,bottom
R102,204.2875,-87.8,0.0,top
R103,203.5875,-59.5,0.0,top
R104,124.764558,-140.075,90.0,bottom
R105,125.364558,-143.45,180.0,bottom
R106,123.925,-167.8,0.0,bottom
R107,127.564558,-159.7,0.0,bottom
R108,124.814558,-133.8,90.0,bottom
R109,124.764558,-173.01,90.0,bottom
R110,125.36,-144.91,0.0,bottom
R12,121.9,-93.025,90.0,top
R13,126.6,-93.825,0.0,top
R14,94.08375,-98.4425,180.0,bottom
R15,94.09,-96.53,180.0,bottom
R16,94.08375,-100.3425,0.0,bottom
R17,98.44375,-95.3875,180.0,bottom
R2,200.35,-86.4,0.0,top
R201,68.250875,-101.635722,180.0,bottom
R202,68.243375,-99.725722,0.0,bottom
R3,158.5,-58.9,0.0,bottom
R32,126.264558,-140.1,270.0,bottom
R33,126.5,-166.9,270.0,bottom
R4,212.7,-80.0875,90.0,top
R401,134.975255,-97.104613,340.0,bottom
R402,135.659296,-98.983998,340.0,bottom
R403,132.851982,-95.722461,340.0,bottom
R404,131.978859,-101.152059,340.0,bottom
R5,211.8865,-63.5,90.0,top
R501,83.5375,-98.9,180.0,bottom
R502,83.5375,-97.0,180.0,bottom
R503,83.55,-100.8,0.0,bottom
R504,87.8,-96.0,180.0,bottom
R7,102.35,-146.5,270.0,top
R701,133.304309,-125.0,90.0,top
R702,132.8375,-122.0,180.0,top
R703,128.6375,-121.91,0.0,top
R704,136.1375,-120.1625,270.0,top
R705,114.856946,-106.92926,270.0,top
R706,116.656946,-109.66676,0.0,top
R707,152.959452,-89.767874,200.0,top
R709,98.65,-76.1,90.0,top
R710,97.55,-76.125,270.0,bottom
R711,97.55,-79.5,270.0,bottom
R8,126.314558,-133.8175,270.0,bottom
R801,199.3,-92.15,270.0,top
R802,201.3,-92.15,90.0,top
R803,196.1,-90.419805,0.0,top
R804,200.05,-57.629834,180.0,top
R805,196.0,-57.33125,180.0,top
R806,196.0,-59.375239,0.0,top
R807,212.55,-88.85,0.0,top
R808,215.2,-89.5375,270.0,top
R809,215.2,-92.9375,270.0,top
R9,127.57,-161.16,180.0,bottom
R901,112.0,-109.3,0.0,top
R902,83.7,-109.2625,270.0,bottom
R903,86.3,-109.2625,270.0,bottom
R904,92.2,-109.2625,270.0,bottom
R905,94.1,-109.2625,270.0,bottom
R906,96.2,-109.2625,270.0,bottom
R907,98.2,-109.2625,270.0,bottom
R908,105.0,-103.2375,90.0,bottom
R909,108.5,-103.8,180.0,bottom
R910,61.7,-127.7375,90.0,bottom
R911,66.9,-127.7,90.0,bottom
R912,71.7,-119.3,0.0,bottom
R913,71.7,-117.3,0.0,bottom
R914,82.1,-121.4,270.0,bottom
R915,84.6,-121.5,270.0,bottom
R916,87.2,-127.5375,90.0,bottom
R917,92.25,-127.6,90.0,bottom
R918,104.95,-127.4875,90.0,bottom
RV1,79.534945,-51.100001,180.0,top
RV101,123.14986397788883,-49.555611875506116,165.0,top
RV102,155.9,-70.71,180.0,top
RV103,143.81827532446042,-72.14461664338836,13.0,top
RV14,94.95,-61.8,180.0,bottom
RV15,94.745494,-75.707521,270.0,top
RV16,92.745493,-75.707521,270.0,top
RV2,96.100001,-54.25,270.0,top
RV3,79.55,-61.393452,0.0,top
RV401,167.822243,-98.451013,40.0,bottom
RV402,165.208117,-96.2575,40.0,bottom
RV403,162.613142,-94.080057,40.0,bottom
RV404,159.999015,-91.886544,40.0,bottom
RV405,155.257174,-91.468613,270.0,bottom
RV501,89.6,-69.5125,270.0,bottom
RV502,87.7,-71.5,270.0,bottom
RV503,89.6,-73.5125,270.0,bottom
RV504,87.7,-75.5125,270.0,bottom
RV505,90.4,-77.3,180.0,bottom
RV506,88.1,-75.8875,270.0,top
RV507,86.1,-75.8875,270.0,top
RV701,84.6125,-140.0,90.0,bottom
RV702,84.6125,-136.6,90.0,bottom
T1,159.344217,-118.5,225.0,top
T2,159.280256,-156.590455,225.0,top
TR701,144.720213,-93.2988,20.0,top
TR702,101.9,-88.5,90.0,top
U1,96.901,-146.5,270.0,bottom
U2,97.0375,-155.65,270.0,bottom
U201,72.328375,-98.080722,90.0,bottom
U3,122.396,-136.160864,90.0,bottom
U4,123.795,-162.4985,270.0,bottom
U401,145.112586,-94.03747,250.0,bottom
U402,131.211492,-98.926786,250.0,bottom
U5,93.7,-88.4,180.0,top
U501,87.0,-88.4,180.0,top
U502,87.7,-98.4,90.0,bottom
U701,80.8625,-138.8625,270.0,bottom
U702,119.0625,-107.5763,90.0,top
U703,135.25,-94.35,290.0,top
U704,101.2125,-97.71,0.0,top
U705,100.4375,-77.3,0.0,bottom
U707,130.7875,-118.205,270.0,top
U8,98.43625,-99.8375,90.0,bottom
U801,139.7,-86.9,50.0,bottom
U802,134.509117,-82.129936,35.0,bottom
U803,137.454131,-84.395539,310.0,top
U804,196.2125,-93.15,0.0,top
U805,195.54,-54.31,270.0,top
U806,212.2,-91.5,0.0,top
U901,58.06,-115.0,180.0,top
U902,89.3,-110.2375,180.0,bottom
U903,101.15,-110.2375,180.0,bottom
